epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2118.08,0.49445,0.38754,1.01493,0.94888,0.93045,0.97202,0.82646,0.63935,0.38114,1.12727,0.000371375,0.000371375,0.000371375
73,2147.93,0.49757,0.3834,1.01561,0.93762,0.93495,0.96998,0.82875,0.62216,0.40073,1.11329,0.000359,0.000359,0.000359
74,2177.71,0.48518,0.38005,1.00609,0.952,0.91972,0.96919,0.82244,0.64672,0.40859,1.14794,0.000346625,0.000346625,0.000346625
75,2207.07,0.47573,0.37807,0.9999,0.95149,0.94107,0.97788,0.82947,0.64192,0.38096,1.12418,0.00033425,0.00033425,0.00033425
76,2236.84,0.47763,0.36495,0.99815,0.96146,0.9237,0.97176,0.82041,0.63932,0.38937,1.14519,0.000321875,0.000321875,0.000321875
77,2266.46,0.4711,0.37185,1.00303,0.96267,0.93305,0.97417,0.82832,0.63332,0.38759,1.13727,0.0003095,0.0003095,0.0003095
78,2296.07,0.46469,0.3587,0.99428,0.94486,0.93895,0.96656,0.81242,0.65479,0.39412,1.16001,0.000297125,0.000297125,0.000297125
79,2325.66,0.4602,0.36229,0.9876,0.95357,0.92753,0.97302,0.82497,0.64892,0.38682,1.14718,0.00028475,0.00028475,0.00028475
80,2355.33,0.46141,0.35797,0.98781,0.93291,0.95534,0.97809,0.82587,0.65198,0.37617,1.15016,0.000272375,0.000272375,0.000272375
81,2384.99,0.4476,0.35053,0.98251,0.95105,0.93799,0.97128,0.81838,0.64847,0.39243,1.1575,0.00026,0.00026,0.00026
82,2414.48,0.45787,0.35266,0.9874,0.95214,0.92618,0.96868,0.82167,0.6246,0.38431,1.13238,0.000247625,0.000247625,0.000247625
83,2444.04,0.46259,0.35452,1.00283,0.95609,0.94205,0.97266,0.81935,0.64392,0.38321,1.13444,0.00023525,0.00023525,0.00023525
84,2473.66,0.44406,0.33532,0.98456,0.96411,0.96328,0.98029,0.82839,0.63172,0.35639,1.13241,0.000222875,0.000222875,0.000222875
85,2503.17,0.43548,0.33559,0.98383,0.96976,0.93484,0.97538,0.82567,0.62408,0.36019,1.14021,0.0002105,0.0002105,0.0002105
86,2532.74,0.44988,0.34975,0.99151,0.9544,0.94933,0.9771,0.83222,0.62042,0.36515,1.1414,0.000198125,0.000198125,0.000198125
87,2562.44,0.4343,0.34283,0.98073,0.94608,0.94998,0.97256,0.83149,0.62435,0.37085,1.13608,0.00018575,0.00018575,0.00018575
88,2592.15,0.4285,0.327,0.9779,0.94987,0.94573,0.97407,0.82879,0.62374,0.36665,1.1426,0.000173375,0.000173375,0.000173375
89,2621.75,0.43152,0.33372,0.97831,0.94796,0.9473,0.97594,0.82895,0.62221,0.36105,1.13433,0.000161,0.000161,0.000161
90,2651.22,0.42169,0.32692,0.96997,0.93619,0.95393,0.97858,0.82992,0.62252,0.36021,1.13313,0.000148625,0.000148625,0.000148625
91,2681.24,0.3306,0.23573,0.88214,0.9483,0.92014,0.96707,0.81264,0.64362,0.38706,1.16561,0.00013625,0.00013625,0.00013625
92,2710.68,0.31937,0.20948,0.87281,0.96071,0.93482,0.97829,0.83673,0.61097,0.35762,1.12424,0.000123875,0.000123875,0.000123875
93,2740.41,0.3137,0.21336,0.87362,0.93191,0.96055,0.97975,0.83552,0.61998,0.3581,1.13182,0.0001115,0.0001115,0.0001115
94,2769.91,0.30114,0.2027,0.86246,0.95492,0.93005,0.97957,0.83441,0.61665,0.36768,1.14263,9.9125e-05,9.9125e-05,9.9125e-05
95,2799.52,0.29773,0.19756,0.85906,0.9527,0.93745,0.97884,0.83008,0.61406,0.35981,1.13783,8.675e-05,8.675e-05,8.675e-05
96,2829.08,0.29578,0.19863,0.85794,0.94114,0.95249,0.97678,0.83746,0.61121,0.35912,1.13576,7.4375e-05,7.4375e-05,7.4375e-05
97,2858.65,0.2964,0.19743,0.86623,0.96415,0.94259,0.98168,0.84227,0.6053,0.3491,1.1341,6.2e-05,6.2e-05,6.2e-05
98,2888.16,0.28368,0.19339,0.84852,0.95581,0.92962,0.97883,0.83804,0.60315,0.35608,1.13448,4.9625e-05,4.9625e-05,4.9625e-05
99,2917.6,0.28709,0.19107,0.85088,0.96335,0.919,0.97944,0.83846,0.60743,0.36129,1.13436,3.725e-05,3.725e-05,3.725e-05
100,2947.09,0.28149,0.18788,0.84556,0.93839,0.94786,0.97759,0.83974,0.60718,0.36442,1.13312,2.4875e-05,2.4875e-05,2.4875e-05
